,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Compression,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Hydrogen Storage,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00011370520891750185
15,Financing cash outflow,Desalination,0.0003765972460594557
16,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
17,Operating Expenses,Water,0.011655677691341555
18,Operating Expenses,Cash on hand reserve,0.013432319495076327
19,Operating Expenses,Property insurance,0.018889200964625857
20,Financing cash outflow,Grid Transmission,0.0364791149777294
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.06140081281545099
22,Operating Expenses,Var O&M,0.07527468904833468
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Solar Plant,0.10090200239339113
25,Financing cash outflow,Electrolysis system,0.12404996954048347
26,Financing cash outflow,Income taxes payable,0.14837607649102422
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.1589740724767405
28,Financing cash outflow,Wind Plant,0.2996752630596028
29,Financing cash outflow,Repayment of debt,0.37176276202394914
30,Financing cash outflow,Interest expense,0.5456048571648793
31,Financing cash outflow,Dividends paid,0.6074696232613918
32,Operating Expenses,Grid Electricity Cost,2.7217815916509784
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00011370520891804403
38,Operating Revenue,Cash on hand recovery,0.013432319495076329
39,Financing cash inflow,Monetized tax losses,0.12222417038045778
40,Financing cash inflow,Inflow of debt,0.37176276202394914
41,Financing cash inflow,Inflow of equity,0.5320212725321503
42,Operating Revenue,Hydrogen sales,4.342159393373423
