,Type,Name,NPV
0,Operating Expenses,Licensing and Permitting,0.0
1,Financing cash outflow,Wind Plant,0.0
2,Financing cash outflow,Hydrogen Storage,0.0
3,Financing cash outflow,Compression,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
6,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
7,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Rent of land,0.0
10,Operating Expenses,Administrative expenses,0.0
11,Operating Expenses,Labor,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Installation cost,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Credit card fees,0.0
16,Operating Expenses,Road tax,0.0
17,Operating Expenses,Total annual maintenance,0.0
18,Operating Expenses,Non-depreciable assets,0.00011370520891750185
19,Financing cash outflow,Desalination,0.0003765972460594557
20,Financing cash outflow,Income taxes payable,0.0003884079069066008
21,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
22,Operating Expenses,Water,0.008292914934426389
23,Operating Expenses,Property insurance,0.016811228423928785
24,Financing cash outflow,Grid Transmission,0.0246694821267412
25,Operating Expenses,Cash on hand reserve,0.025490376192931114
26,Operating Expenses,Var O&M,0.07527468904833468
27,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
28,Financing cash outflow,Repayment of debt,0.20083848108373617
29,Financing cash outflow,Interest expense,0.2783039894478545
30,Financing cash outflow,Electrolysis system,0.47450120248338334
31,Financing cash outflow,Dividends paid,0.6054256478089578
32,Operating Expenses,Grid Electricity Cost,5.585443877785315
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00011370520891761029
38,Operating Revenue,Cash on hand recovery,0.025490376192931114
39,Financing cash inflow,Inflow of debt,0.2008384810837362
40,Financing cash inflow,Inflow of equity,0.5628817713058933
41,Financing cash inflow,Monetized tax losses,0.8250349733815154
42,Operating Revenue,Hydrogen sales,5.767066580028498
